Model,Comparison,P_Value_HLN,BH_FDR_P_Value,Significant_0.05
RandomForest,Full vs Climate_only,0.005767750298378717,0.020587066154527378,True
RandomForest,Full vs Macro_only,0.3051881541268255,0.3487864618592291,False
RandomForest,Full vs Commodity_only,0.0060045609617371525,0.020587066154527378,True
RandomForest,Climate_only vs Macro_only,0.039560761514419875,0.09494582763460771,False
RandomForest,Climate_only vs Commodity_only,0.004544685540463646,0.020587066154527378,True
RandomForest,Macro_only vs Commodity_only,0.14298861866923793,0.21448292800385688,False
XGBoost,Full vs Climate_only,0.024825568681299336,0.0662015164834649,False
XGBoost,Full vs Macro_only,0.28721859443850145,0.3487864618592291,False
XGBoost,Full vs Commodity_only,0.06601235361725168,0.14402695334673093,False
XGBoost,Climate_only vs Macro_only,0.29835427441318313,0.3487864618592291,False
XGBoost,Climate_only vs Commodity_only,0.014178245090631933,0.0425347352718958,True
XGBoost,Macro_only vs Commodity_only,0.17671042050628427,0.2494735348324013,False
ElasticNet,Full vs Climate_only,0.0013187727917227283,0.01756055782506802,True
ElasticNet,Full vs Macro_only,0.0844706453731791,0.1689412907463582,False
ElasticNet,Full vs Commodity_only,0.5093533570501282,0.5314991551827425,False
ElasticNet,Climate_only vs Macro_only,0.0037940926519782897,0.020587066154527378,True
ElasticNet,Climate_only vs Commodity_only,0.0014633798187556682,0.01756055782506802,True
ElasticNet,Macro_only vs Commodity_only,0.09946866055295944,0.17626172555711705,False
SVR,Full vs Climate_only,0.10281933990831828,0.17626172555711705,False
SVR,Full vs Macro_only,0.3666556228529375,0.3999879522032046,False
SVR,Full vs Commodity_only,0.6780728109388399,0.6780728109388399,False
SVR,Climate_only vs Macro_only,0.0034112173196053303,0.020587066154527378,True
SVR,Climate_only vs Commodity_only,0.1289267945424241,0.20628287126787856,False
SVR,Macro_only vs Commodity_only,0.29799609953033407,0.3487864618592291,False
