Model,Config,Feature,Category,Mean_abs_SHAP,Rank_Overall,Rank_Cat,Share_PCT
ElasticNet,Climate_only,temp_mean_celsius_anom,Climate,0.28888598805888244,1,1,65.96350363811396
ElasticNet,Climate_only,solar_irradiance_kwm2_anom,Climate,0.10370441043168198,2,2,23.679605579916203
ElasticNet,Climate_only,rainfall_total_mm_anom,Climate,0.02558132630789709,3,3,5.841176037360482
ElasticNet,Climate_only,wind_speed_10m_ms_anom,Climate,0.014886229847592023,4,4,3.3990844738004076
ElasticNet,Climate_only,surface_soil_wetness_index,Climate,0.0037990949603812847,5,5,0.8674758368328069
ElasticNet,Climate_only,wind_speed_10m_ms,Climate,0.0010911674011939562,6,6,0.24915443397614034
ElasticNet,Climate_only,rainfall_total_mm,Climate,0.0,7,7,0.0
ElasticNet,Climate_only,rainfall_rate_mm_per_day,Climate,0.0,8,8,0.0
ElasticNet,Climate_only,temp_mean_celsius,Climate,0.0,9,9,0.0
ElasticNet,Climate_only,relative_humidity_2m_pct,Climate,0.0,10,10,0.0
ElasticNet,Climate_only,solar_irradiance_kwm2,Climate,0.0,11,11,0.0
ElasticNet,Climate_only,rainfall_rate_mm_per_day_anom,Climate,0.0,12,12,0.0
ElasticNet,Climate_only,relative_humidity_2m_pct_anom,Climate,0.0,13,13,0.0
ElasticNet,Climate_only,surface_soil_wetness_index_anom,Climate,0.0,14,14,0.0
ElasticNet,Commodity_only,wpi_primary_food_articles_yoy,Commodity,0.5355921587018824,1,1,72.72293047783398
ElasticNet,Commodity_only,wpi_manufactured_food_yoy,Commodity,0.16012847008424466,2,2,21.742311585894985
ElasticNet,Commodity_only,wpi_brinjal_yoy,Commodity,0.025096020229637764,3,3,3.4075482711577796
ElasticNet,Commodity_only,wpi_arhar_tur_yoy,Commodity,0.011454359419494133,4,4,1.5552777803000855
ElasticNet,Commodity_only,wpi_garlic_yoy,Commodity,0.004212182193495223,5,5,0.5719318848131725
ElasticNet,Commodity_only,wpi_wheat_yoy,Commodity,0.0,6,6,0.0
ElasticNet,Commodity_only,wpi_rice_yoy,Commodity,0.0,7,7,0.0
ElasticNet,Commodity_only,wpi_maize_yoy,Commodity,0.0,8,8,0.0
ElasticNet,Commodity_only,wpi_gram_chana_yoy,Commodity,0.0,9,9,0.0
ElasticNet,Commodity_only,wpi_moong_yoy,Commodity,0.0,10,10,0.0
ElasticNet,Commodity_only,wpi_urad_yoy,Commodity,0.0,11,11,0.0
ElasticNet,Commodity_only,wpi_masur_yoy,Commodity,0.0,12,12,0.0
ElasticNet,Commodity_only,wpi_tomato_yoy,Commodity,0.0,13,13,0.0
ElasticNet,Commodity_only,wpi_onion_yoy,Commodity,0.0,14,14,0.0
ElasticNet,Commodity_only,wpi_potato_yoy,Commodity,0.0,15,15,0.0
ElasticNet,Commodity_only,wpi_cabbage_yoy,Commodity,0.0,16,16,0.0
