Model,Config,Category,CVG,Mean_Kendall_Tau
RandomForest,Full,Climate,0.5351075671261631,0.2
RandomForest,Full,Macroeconomic,0.6314561291546176,0.2
RandomForest,Full,Commodity,0.5216190786657027,0.2
XGBoost,Full,Climate,0.10974591706383793,0.6000000000000001
XGBoost,Full,Macroeconomic,0.6756016614803922,0.6000000000000001
XGBoost,Full,Commodity,0.49585517919059446,0.6000000000000001
ElasticNet,Full,Climate,1.0487506618532172,0.9632993161855452
ElasticNet,Full,Macroeconomic,0.8385467558977034,0.9632993161855452
ElasticNet,Full,Commodity,0.1547158895423553,0.9632993161855452
SVR,Full,Climate,0.45687032124410304,0.8666666666666668
SVR,Full,Macroeconomic,0.37122465696560597,0.8666666666666668
SVR,Full,Commodity,0.20906405281185259,0.8666666666666668
