Model,Category,GPFI_mean_delta_RMSE,GPFI_std,P_Value,CI95_L,CI95_U,BH_FDR_P_Value,Significant_0.05
RandomForest,Climate,-0.00881917183728951,0.003732997711933403,0.9900990099009901,-0.015452320203232037,-0.00124722055435587,1.0,False
RandomForest,Macroeconomic,-0.0036972194653181957,0.0013240647180159403,1.0,-0.006225276452792292,-0.00142291257507401,1.0,False
RandomForest,Commodity,0.15404306876545776,0.03807138002874122,0.009900990099009901,0.09105638079534739,0.21919817541050263,0.023762376237623763,True
XGBoost,Climate,-0.015291466394303089,0.0087558889119924,0.9504950495049505,-0.03070584047562145,0.0025217605174795267,1.0,False
XGBoost,Macroeconomic,0.015492660716624595,0.0085190545659464,0.019801980198019802,0.0010743956887671936,0.0336567017457451,0.039603960396039604,True
XGBoost,Commodity,0.4836754728444845,0.08201855016318292,0.009900990099009901,0.3260108396667786,0.6198417151361792,0.023762376237623763,True
ElasticNet,Climate,0.0,0.0,1.0,0.0,0.0,1.0,False
ElasticNet,Macroeconomic,0.004228207842738103,0.0038969874230353574,0.15841584158415842,-0.0028398763139541733,0.01272902538840406,0.27157001414427157,False
ElasticNet,Commodity,0.42011262898893337,0.061520060137365856,0.009900990099009901,0.3105737218894642,0.5250547100916259,0.023762376237623763,True
SVR,Climate,-0.02067307413326743,0.028733940849181308,0.7326732673267327,-0.07729154115381302,0.025960587403907314,1.0,False
SVR,Macroeconomic,0.07459133997592873,0.02901298570467972,0.009900990099009901,0.016068516355513443,0.12623124696169644,0.023762376237623763,True
SVR,Commodity,0.5338793472299481,0.09606331501968399,0.009900990099009901,0.3320448505528193,0.6903706391940965,0.023762376237623763,True
