Date,rainfall_total_mm,rainfall_rate_mm_per_day,temp_mean_celsius,temp_max_celsius,temp_min_celsius,relative_humidity_2m_pct,surface_soil_wetness_index,wind_speed_10m_ms,solar_irradiance_kwm2
01-01-2000,18.9,0.6096774193548387,18.3279,,,52.38937716,0.493564014,3.756539792,15.61460208
01-02-2000,28.1,0.9689655172413794,19.942,,,53.33878893,0.484186851,3.769584775,18.16287197
01-03-2000,18.7,0.6032258064516128,24.1604,,,46.85228374,0.448131488,3.696366782,21.78079585
01-04-2000,35.5,1.1833333333333333,28.8297,,,47.29131488,0.423806228,4.002560554,24.12861592
01-05-2000,72.3,2.332258064516129,30.0913,,,54.67117647,0.492214533,4.289031142,22.61093426
01-06-2000,185.2,6.173333333333333,28.9049,,,64.28657439,0.580865052,5.073356401,19.97764706
01-07-2000,268.6,8.66451612903226,27.4519,,,72.2367474,0.656228374,4.823252595,19.18058824
01-08-2000,225.4,7.270967741935484,27.2984,,,72.97626298,0.6716609,4.628685121,18.5966782
01-09-2000,135.8,4.526666666666667,27.0606,,,70.29044983,0.667128028,3.623598616,18.64235294
01-10-2000,41.5,1.3387096774193548,26.1396,,,58.41910035,0.606712803,3.116955017,18.4300692
01-11-2000,14.9,0.4966666666666667,22.6234,,,53.93958478,0.534013841,3.533564014,16.09453287
01-12-2000,9.6,0.3096774193548387,18.9869,,,48.34986159,0.492941176,3.637820069,15.04615917
01-01-2001,7.2,0.23225806451612904,18.0625,,,49.54920415,0.484705882,3.832906574,15.40103806
01-02-2001,10.2,0.36428571428571427,20.7408,,,46.03467128,0.435467128,3.635743945,18.83356401
01-03-2001,21.1,0.6806451612903226,24.7634,,,46.10608997,0.426920415,3.478788927,21.34564014
01-04-2001,45.5,1.5166666666666666,28.1456,,,49.403391,0.458096886,3.57899654,23.00719723
01-05-2001,61.8,1.993548387096774,30.4058,,,54.29429066,0.483079585,4.46615917,23.26685121
01-06-2001,215.2,7.173333333333333,28.867,,,66.46788927,0.604394464,5.10716263,19.71031142
01-07-2001,280.1,9.035483870967743,27.5604,,,72.53934256,0.664602076,4.983910035,18.56193772
01-08-2001,205.7,6.635483870967741,27.3196,,,74.7049481,0.692560554,4.468027682,18.50415225
01-09-2001,109.5,3.65,27.2013,,,69.34709343,0.660449827,3.450519031,19.31564014
01-10-2001,97.6,3.148387096774193,25.8768,,,63.35366782,0.634117647,3.187439446,17.71038062
01-11-2001,18.7,0.6233333333333333,22.5249,,,56.32051903,0.580207612,3.275709343,15.8232526
01-12-2001,6.1,0.19677419354838707,19.1961,,,53.80847751,0.530553633,3.662456747,14.29795848
01-01-2002,17.2,0.5548387096774193,18.0668,,,53.97809689,0.50083045,3.560069204,15.04820069
01-02-2002,20.8,0.7428571428571429,20.507,,,52.24629758,0.48982699,3.815813149,18.246609
01-03-2002,22.3,0.7193548387096774,25.0371,,,48.38941176,0.456228374,3.482560554,21.68747405
01-04-2002,39.1,1.3033333333333335,28.5437,,,47.73197232,0.44266436,3.76200692,23.56363322
01-05-2002,58.0,1.8709677419354838,30.583,,,52.16871972,0.46615917,4.666643599,23.29750865
01-06-2002,169.1,5.636666666666667,29.4811,,,62.40366782,0.569757785,4.728858131,20.8099654
01-07-2002,138.5,4.467741935483871,28.1895,,,66.34096886,0.607889273,5.064394464,19.28806228
01-08-2002,243.6,7.858064516129032,27.4201,,,72.3067128,0.665467128,4.605743945,17.64519031
01-09-2002,136.0,4.533333333333333,26.9258,,,71.09581315,0.674290657,3.709238754,18.90214533
01-10-2002,58.0,1.8709677419354838,25.7823,,,62.62051903,0.625743945,2.945051903,17.69885813
01-11-2002,16.2,0.5399999999999999,22.366,,,56.28875433,0.57017301,3.177820069,15.48321799
01-12-2002,4.9,0.15806451612903227,19.4116,,,53.67570934,0.52,3.539653979,14.35487889
01-01-2003,7.4,0.23870967741935484,17.8009,,,52.1349827,0.499238754,3.570380623,14.94079585
01-02-2003,40.8,1.457142857142857,20.6571,,,57.15477509,0.509792388,3.71799308,17.54692042
01-03-2003,34.6,1.1161290322580646,24.7423,,,50.92557093,0.482802768,3.700761246,21.02723183
01-04-2003,34.0,1.1333333333333333,28.4882,,,48.54892734,0.451799308,3.860276817,23.42314879
01-05-2003,37.9,1.2225806451612902,30.3115,,,49.88041522,0.44899654,4.481868512,22.9933218
01-06-2003,164.6,5.486666666666666,29.7028,,,61.17307958,0.532768166,5.046816609,20.19086505
01-07-2003,303.7,9.796774193548387,27.6963,,,73.40013841,0.674740484,4.653944637,18.53138408
01-08-2003,248.3,8.009677419354839,27.2896,,,75.67626298,0.701072664,4.487716263,18.02754325
01-09-2003,180.3,6.010000000000001,26.9879,,,73.78249135,0.695743945,3.847681661,18.14487889
01-10-2003,91.5,2.9516129032258065,25.3451,,,64.64076125,0.671903114,3.225432526,17.94387543
01-11-2003,10.7,0.35666666666666663,22.1761,,,58.19525952,0.612249135,3.433806228,16.30491349
01-12-2003,16.0,0.5161290322580645,19.066,,,60.05397924,0.566124567,3.64266436,14.2667128
01-01-2004,24.9,0.8032258064516129,17.8867,,,60.35515571,0.537681661,3.587750865,14.7383045
01-02-2004,10.0,0.3448275862068966,20.6908,,,51.80442907,0.503944637,3.53532872,18.95197232
01-03-2004,12.1,0.3903225806451613,25.8863,,,45.9650173,0.437923875,3.705916955,22.25792388
01-04-2004,50.7,1.6900000000000002,28.5763,,,50.13519031,0.450346021,3.791314879,23.03204152
01-05-2004,75.6,2.4387096774193546,30.0409,,,54.89259516,0.517128028,4.513183391,22.67785467
01-06-2004,166.3,5.543333333333334,29.1198,,,64.33536332,0.595536332,5.104844291,20.1899654
01-07-2004,242.7,7.829032258064516,27.8861,,,70.70211073,0.656851211,4.699307958,18.78200692
01-08-2004,252.8,8.154838709677419,27.1771,,,75.26633218,0.713460208,4.811626298,18.22141869
01-09-2004,123.3,4.11,27.2142,,,71.12875433,0.685363322,3.443564014,19.13131488
01-10-2004,92.0,2.967741935483871,24.9828,,,65.91404844,0.664532872,3.235397924,17.41397924
01-11-2004,16.4,0.5466666666666666,22.2705,,,58.55958478,0.598512111,3.19899654,15.83910035
01-12-2004,6.0,0.1935483870967742,19.2536,,,55.97785467,0.539896194,3.576955017,14.50820069
01-01-2005,31.5,1.0161290322580645,18.064,,,58.30775087,0.513356401,3.76183391,14.54875433
01-02-2005,45.0,1.6071428571428572,20.5714,,,57.72425606,0.511141869,4.009446367,17.90453287
01-03-2005,42.3,1.364516129032258,24.8885,,,54.74311419,0.48633218,3.562560554,20.74221453
01-04-2005,38.3,1.2766666666666666,27.9033,,,50.52577855,0.480899654,3.54816609,22.46010381
01-05-2005,49.1,1.5838709677419356,30.0307,,,53.32262976,0.495882353,3.976228374,23.1767474
01-06-2005,145.8,4.86,30.1269,,,58.97117647,0.529134948,4.87982699,20.66536332
01-07-2005,333.4,10.754838709677419,27.7041,,,73.8283045,0.679238754,4.929134948,18.26304498
01-08-2005,191.2,6.16774193548387,27.391,,,74.09366782,0.700034602,4.460761246,18.95276817
01-09-2005,201.4,6.713333333333334,27.1942,,,74.08889273,0.708581315,4.004982699,18.01197232
01-10-2005,97.3,3.138709677419355,25.3522,,,66.7249827,0.679550173,3.110138408,17.35010381
01-11-2005,26.7,0.89,21.8687,,,59.26131488,0.632110727,3.475743945,15.84785467
01-12-2005,11.4,0.36774193548387096,18.7312,,,55.77128028,0.581280277,3.664290657,14.42536332
01-01-2006,16.6,0.535483870967742,18.3248,,,54.27235294,0.535813149,4.039930796,15.81743945
01-02-2006,11.0,0.39285714285714285,21.826,,,51.33294118,0.481626298,3.504878893,18.70041522
01-03-2006,35.2,1.135483870967742,24.5087,,,53.10096886,0.506124567,3.407681661,21.08927336
01-04-2006,32.1,1.07,28.1715,,,49.50425606,0.467785467,3.735086505,23.12134948
01-05-2006,79.6,2.5677419354838706,30.3112,,,55.42401384,0.505086505,4.187508651,22.8067128
01-06-2006,151.0,5.033333333333333,29.2036,,,64.22750865,0.593217993,4.410242215,20.89031142
01-07-2006,288.0,9.290322580645162,27.9751,,,72.08415225,0.667128028,5.21467128,18.50055363
01-08-2006,288.2,9.296774193548387,27.1344,,,76.28546713,0.714359862,4.771695502,18.24577855
01-09-2006,170.7,5.6899999999999995,26.9626,,,73.41896194,0.707923875,3.733598616,18.83716263
01-10-2006,52.4,1.6903225806451612,25.8049,,,66.16394464,0.661211073,2.933737024,17.87089965
01-11-2006,33.2,1.1066666666666667,22.4242,,,63.61207612,0.624948097,3.156297578,14.89982699
01-12-2006,12.3,0.3967741935483871,19.2653,,,59.79698962,0.578823529,3.731384083,14.21269896
01-01-2007,2.3,0.07419354838709677,18.2991,,,51.76532872,0.514775087,3.649653979,15.81380623
01-02-2007,35.7,1.2750000000000001,20.6912,,,58.81449827,0.515259516,3.42816609,17.50619377
01-03-2007,34.3,1.1064516129032258,24.3229,,,52.98788927,0.490795848,3.69650519,21.69868512
01-04-2007,34.0,1.1333333333333333,28.6665,,,48.89757785,0.466747405,3.465432526,23.77290657
01-05-2007,49.5,1.596774193548387,30.4668,,,53.66356401,0.484982699,4.044948097,23.33346021
01-06-2007,199.9,6.663333333333333,29.401,,,63.2199308,0.566643599,4.848823529,20.39238754
01-07-2007,294.3,9.493548387096775,27.9624,,,73.20574394,0.677750865,4.806989619,18.78626298
01-08-2007,259.1,8.358064516129033,27.4335,,,76.20114187,0.721384083,4.334429066,18.36193772
01-09-2007,213.3,7.11,27.0388,,,74.39868512,0.728788927,3.860795848,17.88775087
01-10-2007,55.9,1.803225806451613,25.4711,,,63.97712803,0.680242215,3.282387543,18.09017301
01-11-2007,14.6,0.48666666666666664,22.4741,,,58.20480969,0.614809689,3.002975779,16.16712803
01-12-2007,15.8,0.5096774193548387,19.0778,,,57.26055363,0.567854671,3.893252595,14.1016955
01-01-2008,22.2,0.7161290322580645,17.8505,,,56.48529412,0.521522491,4.010865052,14.65605536
01-02-2008,19.0,0.6551724137931034,19.6809,,,52.92034602,0.499307958,3.785743945,18.06875433
01-03-2008,38.1,1.229032258064516,25.1156,,,50.97923875,0.481972318,3.198512111,20.57235294
01-04-2008,32.5,1.0833333333333333,27.9736,,,51.24401384,0.494013841,3.601591696,23.41719723
01-05-2008,45.3,1.461290322580645,30.1482,,,54.95913495,0.490622837,4.316574394,23.09138408
01-06-2008,210.5,7.016666666666667,28.6796,,,68.19944637,0.626574394,4.841280277,19.16287197
01-07-2008,254.2,8.2,27.8309,,,74.5584083,0.706262976,4.627197232,18.5900692
01-08-2008,265.6,8.567741935483872,27.1109,,,77.71280277,0.761314879,4.210276817,18.2532526
01-09-2008,166.8,5.5600000000000005,26.933,,,75.43408304,0.7516609,3.645224913,18.55519031
01-10-2008,51.5,1.6612903225806452,25.9036,,,67.02768166,0.696574394,2.910726644,17.95100346
01-11-2008,25.6,0.8533333333333334,22.4457,,,61.22221453,0.630346021,3.49550173,15.69107266
01-12-2008,10.6,0.3419354838709677,20.0275,,,60.68183391,0.590519031,3.321868512,14.16435986
01-01-2009,11.5,0.3709677419354839,18.9432,,,59.05688581,0.545536332,3.589723183,15.13930796
01-02-2009,12.5,0.44642857142857145,21.601,,,52.12346021,0.49384083,3.746608997,18.73128028
01-03-2009,13.9,0.4483870967741936,25.16,,,49.49688581,0.468754325,3.487612457,20.84024221
01-04-2009,25.6,0.8533333333333334,28.6361,,,48.73975779,0.467231834,3.96200692,23.55532872
01-05-2009,56.4,1.8193548387096774,30.464,,,54.23294118,0.490692042,4.287508651,23.11903114
01-06-2009,87.5,2.9166666666666665,30.2346,,,59.56034602,0.548892734,4.766747405,22.18778547
01-07-2009,285.7,9.216129032258063,28.1943,,,71.75737024,0.663356401,5.236089965,18.61311419
01-08-2009,193.5,6.241935483870968,27.8527,,,73.75861592,0.695259516,4.190484429,19.06176471
01-09-2009,142.4,4.746666666666667,27.4927,,,72.91705882,0.717543253,3.724844291,19.16719723
01-10-2009,71.0,2.2903225806451615,25.6534,,,63.78806228,0.668788927,3.239896194,18.13564014
01-11-2009,54.7,1.8233333333333335,22.243,,,62.54539792,0.625986159,3.465640138,14.98252595
01-12-2009,11.2,0.36129032258064514,19.3949,,,60.09958478,0.584429066,3.53100346,13.74249135
01-01-2010,7.2,0.23225806451612904,18.0691,,,54.66615917,0.543910035,3.598235294,15.12422145
01-02-2010,15.4,0.55,21.0871,,,53.51584775,0.498027682,3.70716263,17.92242215
01-03-2010,18.1,0.5838709677419355,26.23,,,48.63297578,0.453702422,3.683148789,21.30321799
01-04-2010,45.3,1.51,29.5928,,,48.46429066,0.438615917,3.966228374,23.59615917
01-05-2010,73.1,2.358064516129032,30.9589,,,53.88183391,0.487647059,4.456539792,23.04612457
01-06-2010,141.3,4.71,29.8508,,,62.83885813,0.578546713,4.77716263,20.68553633
01-07-2010,299.1,9.648387096774194,28.0281,,,73.91,0.694152249,4.580795848,18.57979239
01-08-2010,273.3,8.816129032258065,27.4948,,,78.57740484,0.762629758,3.956989619,18.28259516
01-09-2010,197.9,6.596666666666667,26.9231,,,77.44145329,0.777301038,3.495951557,18.12588235
01-10-2010,69.1,2.229032258064516,26.0405,,,70.58989619,0.732941176,3.276089965,17.04747405
01-11-2010,57.2,1.9066666666666667,22.8694,,,67.16211073,0.691487889,3.144152249,14.97439446
01-12-2010,23.3,0.7516129032258064,18.6747,,,60.86425606,0.649792388,3.442491349,14.11221453
01-01-2011,7.5,0.24193548387096775,17.3511,,,58.78411765,0.599446367,3.842525952,15.17543253
